FileSize,FileName,Manu,Year,File,Type,,OPDB_ID,NameCount
"14,452",stern-2010-ironman.docx,stern,2010,ironman,docx,Iron Man,GRVq4,1
"16,413",bmw-1995-jackbot.docx,bmw,1995,jack*bot,docx,Jack•Bot,GRKOX,1
"13,591",gottlieb-1973-jackinthebox.docx,gottlieb,1973,JackInTheBox/JumpingJack,docx,Jack In The Box / Jumping Jack,Gr2JJ,1
"181,413",gottlieb-1980-jamesbond.docx,gottlieb,1980,JamesBond007Gott,docx,James Bond 007,G4PXJ,1
"181,413",gottlieb-1978-jokerpoker.docx,gottlieb,1978,jokerpoker,docx,Joker Poker,GR9o1,1
"14,453",stern-2015-kiss.docx,stern,2015,kiss,docx,KISS,G4jXr,1
"14,045",stern-2003-lordoftherings.docx,stern,2003,lordoftherings,docx,Chinatown,GrqZX,1
"101,317",bally-1977-lostworld.docx,bally,1977,lostworld,docx,Lost World,G5pEk,1
"16,421",zaccharia-1984-magiccastle.docx,zaccharia,1984,magiccastle,docx,Magic Castle,G5v2B,1
"13,726",williams-1967-magiccity.docx,williams,1967,MagicCity/MagicTown,docx,Magic City / Magic Town,G57xp,1
"16,691",premier-1995-marioandretti.docx,premier,1995,marioandretti,docx,Mario Andretti,GRBqq,1
"146,512",sonic-1977-marstrek.docx,sonic,1977,marstrek,docx,Mars Trek,Gr89x,1
"16,812",sega-1995-frankenstein.docx,sega,1995,MaryShelley'sFrankenstein,docx,Mary Shelley's Frankenstein,GRB7E,1
"1,167,903",bally-1977-matahari.docx,bally,1977,matahari,docx,Mata Hari,G417e,1
"14,048",chicago-2018-medievalmadnessR.docx,chicago,2018,medievalmadness,docx,Medieval Madness,G5pe4_remake,1
"13,967",bmw-1997-medievalmadness.docx,bmw,1997,medievalmadness,docx,Medieval Madness,G5pe4,1
"13,981",stern-2013-metallica.docx,stern,2013,metallica,docx,Metallica,GRBE4,1
"65,285",stern-1979-meteor.docx,stern,1979,meteor,docx,Meteor,G5b38,1
"14,316",stern-2001-monopoly.docx,stern,2001,monopoly,docx,Monopoly,G48w3,1
"14,000",bmw-1998-monsterbash.docx,bmw,1998,monsterbash,docx,Monster Bash,Gr3EW,1
"88,225",bally-1973-montecarlo.docx,bally,1973,MonteCarlo/Odds&Evens,docx,Monte Carlo / Odds & Evens,G4NnZ,1
"14,704",stern-2014-mustang.docx,stern,2014,Mustang(Stern),docx,Mustang,GrPOR,1
"13,950",stern-2009-NBA.docx,stern,2009,NBA,docx,NBA,G5K19,1
"855,827",stern-1980-nineball.docx,stern,1980,nineball,docx,Nine Ball,G4jjx,1
"27,454",bally-1973-nipit.docx,bally,1973,nip-it,docx,Nip-It,Gre0B,1
"71,960",bally-1978-nitrogroundshaker.docx,bally,1978,nitrogroundshaker,docx,Nitro Ground Shaker,GrP6q,1
"14,143",bmw-1995-nofear.docx,bmw,1995,NoFear:DangerousSports,docx,No Fear: Dangerous Sports,Gr2Y2,1
"111,536",bally-1976-oldchicago.docx,bally,1976,oldchicago,docx,Old Chicago,G4dJE,1
"352,076",bally-1978-paragon.docx,bally,1978,paragon,docx,Paragon,GrXy3,1
"89,478",gottlieb-1981-pinkpanther.docx,gottlieb,1981,pinkpanther,docx,Pink Panther,Gre72,1
"14,083",premier-1986-raven.docx,premier,1986,raven,docx,Raven,GrJWP,1
"13,933",bmw-1994-roadshow.docx,bmw,1994,roadshow,docx,Road Show,G4dWd,1
"41,117",bally-1967-rocketiii.docx,bally,1967,rocketiii,docx,Flying Turns,G42XB,1
"16,564",bmw-1996-scaredstiff.docx,bmw,1996,scaredstiff,docx,Scared Stiff,G4xbP,1
"116,653",williams-1980-scorpion.docx,williams,1980,scorpion,docx,Scorpion,G4qQj,1
"13,617",stern-1980-seawitch.docx,stern,1980,seawitch,docx,Seawitch,GR6kB,1
"16,170",gottlieb-1967-melody.docx,gottlieb,1967,SingAlong/Melody,docx,Sing Along / Melody,GrPkZ,1
"224,520",bally-1978-sixmilliondolarman.docx,bally,1978,SixMillionDollarMan,docx,Six Million Dollar Man,GrEke,1
"14,050",bally-1980-spaceinvaders.docx,bally,1980,spaceinvaders,docx,Space Invaders,G42PX,1
"191,963",williams-1976-spacemission.docx,williams,1976,SpaceMission/SpaceOdyssey,docx,Space Mission / Space Odyssey,GRnX6,1
"14,747",stern-2007-spiderman.docx,stern,2007,Spider-Man,docx,Spider-Man,G5D94,1
"14,013",premier-1987-springbreak.docx,premier,1987,springbreak,docx,Spring Break,GRLKd,1
"13,843",premier-1995-stargate.docx,premier,1995,stargate,docx,Stargate,G50pv,1
"16,753",sega-1997-starshiptroopers.docx,sega,1997,starshiptroopers,docx,Starship Troopers,G5we0,1
"16,541",bmw-1994-STTNG.docx,bmw,1994,StarTrek:TheNextGeneration,docx,Star Trek: The Next Generation,GR6d8,1
"17,274",stern-2013-startrek.docx,stern,2013,StarTrek(Stern),docx,Star Trek,Gryw4,1
"210,499",bally-1979-startrek.docx,bally,1979,StarTrekBally,docx,Star Trek,GRVnd,1
"16,577",dataeast-1992-starwars.docx,dataeast,1992,StarWars(DE),docx,Star Wars (DE),G420r,1
"17,093",stern-2017-starwars.docx,stern,2017,StarWars(Stern),docx,Star Wars,G5vLR,1
"13,908",premier-1993-streetfighter2.docx,premier,1993,streetfighterII,docx,Street Fighter II,G5BYQ,1
"216,878",bally-1979-supersonic.docx,bally,1979,supersonic,docx,Supersonic,GRLXd,1
"14,628",bmw-1996-totan.docx,bmw,1996,TalesoftheArabianNights,docx,Tales of the Arabian Nights,G4llj,1
